counter	field	row_label	edge	identifiable	boundary_sample	failed_test
6811	1	59	left	yes	3	
6811	1	59	right	no		L3
6811	1	139	left	yes	3	
6811	1	139	right	no		L3
6811	1	219	left	yes	3	
6811	1	219	right	yes	35	
6811	2	322	left	yes	3	
6811	2	322	right	no		L3
6811	2	402	left	yes	3	
6811	2	402	right	no		L3
6811	2	482	left	yes	3	
6811	2	482	right	no		L3
6812	1	59	left	yes	2	
6812	1	59	right	no		L3
6812	1	139	left	yes	2	
6812	1	139	right	no		L3
6812	1	219	left	yes	3	
6812	1	219	right	no		L3
6812	2	322	left	yes	2	
6812	2	322	right	yes	34	
6812	2	402	left	yes	3	
6812	2	402	right	yes	33	
6812	2	482	left	yes	2	
6812	2	482	right	no		L3
6813	1	59	left	yes	2	
6813	1	59	right	no		L3
6813	1	139	left	yes	3	
6813	1	139	right	no		L3
6813	1	219	left	yes	4	
6813	1	219	right	no		L3
6813	2	322	left	yes	2	
6813	2	322	right	no		L3
6813	2	402	left	yes	3	
6813	2	402	right	yes	33	
6813	2	482	left	yes	1	
6813	2	482	right	no		L3
6814	1	59	left	yes	2	
6814	1	59	right	no		L3
6814	1	139	left	yes	3	
6814	1	139	right	no		L3
6814	1	219	left	yes	2	
6814	1	219	right	no		L3
6814	2	322	left	yes	2	
6814	2	322	right	no		L3
6814	2	402	left	yes	3	
6814	2	402	right	no		L3
6814	2	482	left	yes	3	
6814	2	482	right	no		L3
6840	1	59	left	yes	3	
6840	1	59	right	no		L1
6840	1	139	left	no		L3
6840	1	139	right	no		L1
6840	1	219	left	no		L3
6840	1	219	right	no		L1
6840	2	322	left	yes	4	
6840	2	322	right	no		L1
6840	2	402	left	yes	4	
6840	2	402	right	no		L1
6840	2	482	left	yes	4	
6840	2	482	right	no		L1
6841	1	59	left	yes	4	
6841	1	59	right	no		L1
6841	1	139	left	yes	4	
6841	1	139	right	no		L1
6841	1	219	left	yes	3	
6841	1	219	right	no		L1
6841	2	322	left	yes	3	
6841	2	322	right	no		L1
6841	2	402	left	yes	4	
6841	2	402	right	no		L1
6841	2	482	left	yes	4	
6841	2	482	right	no		L1
6842	1	59	left	no		L3
6842	1	59	right	no		L1
6842	1	139	left	yes	4	
6842	1	139	right	no		L1
6842	1	219	left	yes	3	
6842	1	219	right	no		L1
6842	2	322	left	yes	4	
6842	2	322	right	no		L1
6842	2	402	left	yes	4	
6842	2	402	right	no		L1
6842	2	482	left	yes	4	
6842	2	482	right	no		L1
6843	1	59	left	yes	3	
6843	1	59	right	no		L1
6843	1	139	left	yes	3	
6843	1	139	right	no		L1
6843	1	219	left	yes	2	
6843	1	219	right	no		L1
6843	2	322	left	no		L3
6843	2	322	right	no		L1
6843	2	402	left	yes	4	
6843	2	402	right	no		L1
6843	2	482	left	yes	4	
6843	2	482	right	no		L1
6869	1	59	left	no		L1
6869	1	59	right	no		L1
6869	1	139	left	yes	2	
6869	1	139	right	no		L1
6869	1	219	left	no		L1
6869	1	219	right	no		L1
6869	2	322	left	no		L1
6869	2	322	right	no		L1
6869	2	402	left	yes	1	
6869	2	402	right	no		L1
6869	2	482	left	yes	2	
6869	2	482	right	no		L1
6870	1	59	left	no		L1
6870	1	59	right	no		L1
6870	1	139	left	yes	2	
6870	1	139	right	no		L1
6870	1	219	left	no		L1
6870	1	219	right	no		L1
6870	2	322	left	no		L1
6870	2	322	right	no		L1
6870	2	402	left	yes	2	
6870	2	402	right	no		L1
6870	2	482	left	yes	2	
6870	2	482	right	no		L1
6871	1	59	left	yes	1	
6871	1	59	right	no		L1
6871	1	139	left	yes	1	
6871	1	139	right	no		L1
6871	1	219	left	yes	2	
6871	1	219	right	no		L1
6871	2	322	left	no		L1
6871	2	322	right	no		L1
6871	2	402	left	yes	1	
6871	2	402	right	no		L1
6871	2	482	left	yes	1	
6871	2	482	right	no		L1
6872	1	59	left	yes	1	
6872	1	59	right	no		L1
6872	1	139	left	yes	1	
6872	1	139	right	no		L1
6872	1	219	left	yes	1	
6872	1	219	right	no		L1
6872	2	322	left	yes	1	
6872	2	322	right	no		L1
6872	2	402	left	yes	1	
6872	2	402	right	no		L1
6872	2	482	left	yes	1	
6872	2	482	right	no		L1
6898	1	59	left	no		L1
6898	1	59	right	no		L1
6898	1	139	left	yes	2	
6898	1	139	right	no		L1
6898	1	219	left	yes	2	
6898	1	219	right	no		L1
6898	2	322	left	yes	1	
6898	2	322	right	no		L1
6898	2	402	left	yes	1	
6898	2	402	right	no		L1
6898	2	482	left	yes	1	
6898	2	482	right	no		L1
6899	1	59	left	no		L3
6899	1	59	right	no		L1
6899	1	139	left	yes	1	
6899	1	139	right	no		L1
6899	1	219	left	yes	1	
6899	1	219	right	no		L1
6899	2	322	left	yes	1	
