counter	field	row_label	edge	identifiable	boundary_sample	failed_test
6899	2	322	right	no		L1
6899	2	402	left	yes	1	
6899	2	402	right	no		L1
6899	2	482	left	yes	1	
6899	2	482	right	no		L1
6900	1	59	left	no		L1
6900	1	59	right	no		L1
6900	1	139	left	yes	2	
6900	1	139	right	no		L1
6900	1	219	left	yes	2	
6900	1	219	right	no		L1
6900	2	322	left	yes	1	
6900	2	322	right	no		L1
6900	2	402	left	yes	1	
6900	2	402	right	no		L1
6900	2	482	left	yes	1	
6900	2	482	right	no		L1
6901	1	59	left	yes	1	
6901	1	59	right	no		L1
6901	1	139	left	yes	1	
6901	1	139	right	no		L1
6901	1	219	left	yes	1	
6901	1	219	right	no		L1
6901	2	322	left	yes	1	
6901	2	322	right	no		L1
6901	2	402	left	yes	1	
6901	2	402	right	no		L1
6901	2	482	left	yes	1	
6901	2	482	right	no		L1
