counter	field	row_label	edge	identifiable	boundary_sample	failed_test
6902	1	59	left	yes	10	
6902	1	59	right	yes	46	
6902	1	139	left	yes	9	
6902	1	139	right	yes	45	
6902	1	219	left	no		L2
6902	1	219	right	yes	45	
6902	2	322	left	yes	10	
6902	2	322	right	yes	46	
6902	2	402	left	yes	9	
6902	2	402	right	yes	45	
6902	2	482	left	yes	10	
6902	2	482	right	yes	45	
6903	1	59	left	yes	9	
6903	1	59	right	yes	46	
6903	1	139	left	yes	9	
6903	1	139	right	yes	45	
6903	1	219	left	yes	9	
6903	1	219	right	yes	44	
6903	2	322	left	yes	10	
6903	2	322	right	yes	46	
6903	2	402	left	yes	10	
6903	2	402	right	yes	45	
6903	2	482	left	yes	9	
6903	2	482	right	yes	45	
6904	1	59	left	yes	10	
6904	1	59	right	yes	46	
6904	1	139	left	yes	10	
6904	1	139	right	yes	45	
6904	1	219	left	yes	10	
6904	1	219	right	yes	45	
6904	2	322	left	yes	9	
6904	2	322	right	yes	46	
6904	2	402	left	yes	9	
6904	2	402	right	yes	45	
6904	2	482	left	yes	9	
6904	2	482	right	yes	45	
6905	1	59	left	yes	10	
6905	1	59	right	yes	46	
6905	1	139	left	yes	10	
6905	1	139	right	yes	45	
6905	1	219	left	yes	9	
6905	1	219	right	yes	45	
6905	2	322	left	yes	9	
6905	2	322	right	yes	46	
6905	2	402	left	yes	9	
6905	2	402	right	yes	45	
6905	2	482	left	yes	10	
6905	2	482	right	yes	45	
6906	1	59	left	no		L2
6906	1	59	right	yes	46	
6906	1	139	left	yes	9	
6906	1	139	right	yes	45	
6906	1	219	left	yes	10	
6906	1	219	right	yes	45	
6906	2	322	left	yes	9	
6906	2	322	right	yes	46	
6906	2	402	left	yes	9	
6906	2	402	right	yes	45	
6906	2	482	left	yes	9	
6906	2	482	right	yes	45	
6907	1	59	left	yes	10	
6907	1	59	right	yes	46	
6907	1	139	left	yes	10	
6907	1	139	right	yes	45	
6907	1	219	left	yes	10	
6907	1	219	right	yes	45	
6907	2	322	left	yes	9	
6907	2	322	right	yes	46	
6907	2	402	left	yes	10	
6907	2	402	right	yes	46	
6907	2	482	left	yes	9	
6907	2	482	right	yes	45	
6908	1	59	left	yes	10	
6908	1	59	right	yes	46	
6908	1	139	left	yes	10	
6908	1	139	right	yes	46	
6908	1	219	left	yes	10	
6908	1	219	right	yes	45	
6908	2	322	left	yes	9	
6908	2	322	right	yes	46	
6908	2	402	left	yes	9	
6908	2	402	right	yes	45	
6908	2	482	left	yes	10	
6908	2	482	right	yes	45	
6909	1	59	left	yes	10	
6909	1	59	right	yes	46	
6909	1	139	left	yes	9	
6909	1	139	right	yes	46	
6909	1	219	left	yes	10	
6909	1	219	right	yes	45	
6909	2	322	left	yes	9	
6909	2	322	right	yes	46	
6909	2	402	left	yes	9	
6909	2	402	right	yes	46	
6909	2	482	left	yes	10	
6909	2	482	right	yes	45	
6931	1	59	left	yes	9	
6931	1	59	right	yes	46	
6931	1	139	left	yes	9	
6931	1	139	right	yes	46	
6931	1	219	left	no		L2
6931	1	219	right	yes	46	
6931	2	322	left	yes	9	
6931	2	322	right	yes	46	
6931	2	402	left	yes	9	
6931	2	402	right	yes	46	
6931	2	482	left	no		L2
6931	2	482	right	yes	46	
6932	1	59	left	no		L2
6932	1	59	right	yes	46	
6932	1	139	left	yes	9	
6932	1	139	right	yes	46	
6932	1	219	left	yes	9	
6932	1	219	right	yes	46	
6932	2	322	left	yes	9	
6932	2	322	right	yes	46	
6932	2	402	left	yes	10	
6932	2	402	right	yes	46	
6932	2	482	left	yes	9	
6932	2	482	right	yes	46	
6933	1	59	left	yes	9	
6933	1	59	right	yes	46	
6933	1	139	left	yes	10	
6933	1	139	right	yes	46	
6933	1	219	left	yes	10	
6933	1	219	right	yes	45	
6933	2	322	left	yes	9	
6933	2	322	right	yes	46	
6933	2	402	left	yes	9	
6933	2	402	right	yes	46	
6933	2	482	left	yes	9	
6933	2	482	right	yes	45	
6934	1	59	left	yes	10	
6934	1	59	right	yes	46	
6934	1	139	left	yes	9	
6934	1	139	right	yes	45	
6934	1	219	left	yes	10	
6934	1	219	right	yes	45	
6934	2	322	left	yes	9	
6934	2	322	right	yes	46	
6934	2	402	left	yes	9	
6934	2	402	right	yes	46	
6934	2	482	left	yes	9	
6934	2	482	right	yes	46	
6957	1	59	left	yes	9	
6957	1	59	right	yes	46	
6957	1	139	left	yes	9	
6957	1	139	right	yes	46	
6957	1	219	left	yes	9	
6957	1	219	right	yes	46	
6957	2	322	left	yes	9	
6957	2	322	right	yes	46	
6957	2	402	left	yes	9	
6957	2	402	right	yes	46	
6957	2	482	left	no		L2
6957	2	482	right	yes	45	
6958	1	59	left	yes	9	
6958	1	59	right	yes	46	
6958	1	139	left	yes	9	
6958	1	139	right	yes	46	
6958	1	219	left	yes	9	
6958	1	219	right	yes	46	
6958	2	322	left	yes	9	
6958	2	322	right	yes	46	
6958	2	402	left	yes	9	
6958	2	402	right	yes	46	
6958	2	482	left	yes	9	
6958	2	482	right	yes	46	
6959	1	59	left	yes	9	
6959	1	59	right	yes	46	
6959	1	139	left	yes	9	
6959	1	139	right	yes	46	
6959	1	219	left	yes	10	
6959	1	219	right	yes	46	
6959	2	322	left	yes	9	
6959	2	322	right	yes	46	
6959	2	402	left	yes	9	
6959	2	402	right	yes	46	
6959	2	482	left	yes	9	
6959	2	482	right	yes	46	
6960	1	59	left	yes	9	
6960	1	59	right	yes	46	
6960	1	139	left	yes	9	
6960	1	139	right	yes	46	
6960	1	219	left	yes	9	
6960	1	219	right	yes	46	
6960	2	322	left	yes	9	
6960	2	322	right	yes	46	
6960	2	402	left	yes	9	
6960	2	402	right	yes	46	
6960	2	482	left	yes	9	
6960	2	482	right	yes	46	
