ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
0,13500,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=59.500; VBI=none; outer-edge test L259/L260/L261=0.774/0.849/0.055; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.937/0.049/0.009; direct edge candidate=L521; body edge positions=7/714,521,1,0
1,13501,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.871/0.803/0.048; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.923/0.049/0.009; direct edge candidate=L521; body edge positions=7/714,521,1,0
2,13502,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.805/0.846/0.048; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.812/0.042/0.018; direct edge candidate=L521; body edge positions=7/714,521,1,0
3,13503,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.500; VBI=none; outer-edge test L259/L260/L261=0.897/0.924/0.055; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.851/-0.009/0.018; direct edge candidate=L521; body edge positions=7/714,521,1,0
4,13504,25,260,261,262,cv_inspected,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.784/0.887/0.852; direct edge candidate=L260; body edge positions=8/714; magnified raw rows resolve L260; row Y(mean/std) L24=3.608/3.516 L25=117.845/28.554 L26=113.316/24.946 L259=106.511/41.602 L260=102.302/42.274 L261=98.889/40.469 L262=36.263/50.797,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.843/0.057/0.018; direct edge candidate=L521; body edge positions=8/714,521,2,0
5,13505,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.882/0.896/0.056; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.817/0.056/0.009; direct edge candidate=L521; body edge positions=7/714,521,1,0
6,13506,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.889/0.882/0.063; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.817/0.049/0.009; direct edge candidate=L521; body edge positions=8/714,521,1,0
7,13507,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.500; VBI=none; outer-edge test L259/L260/L261=0.795/0.932/0.048; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.829/0.056/0.018; direct edge candidate=L521; body edge positions=7/714,521,1,0
8,13508,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.710/0.717/0.055; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.830/0.054/0.009; direct edge candidate=L521; body edge positions=8/714,521,1,0
9,13509,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=59.000; VBI=none; outer-edge test L259/L260/L261=0.889/0.792/0.042; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.827/0.058/0.018; direct edge candidate=L521; body edge positions=7/714,521,1,0
10,13510,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.755/0.830/0.054; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.907/0.057/0.009; direct edge candidate=L521; body edge positions=7/714,521,1,0
11,13511,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.760/0.829/0.048; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.903/0.050/0.009; direct edge candidate=L521; body edge positions=8/714,521,1,0
12,13512,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.800/0.717/0.055; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.878/0.058/0.018; direct edge candidate=L521; body edge positions=8/714,521,1,0
13,13513,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.878/0.976/0.042; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.720/0.056/0.018; direct edge candidate=L521; body edge positions=8/714,521,1,0
14,13514,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.897/0.917/0.048; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.913/0.058/0.018; direct edge candidate=L521; body edge positions=7/714,521,1,0
15,13515,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=60.000; VBI=none; outer-edge test L259/L260/L261=0.729/0.903/0.049; direct edge candidate=L260; body edge positions=7/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.842/0.056/0.009; direct edge candidate=L521; body edge positions=7/714,521,1,0
16,13516,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=59.500; VBI=none; outer-edge test L259/L260/L261=0.965/0.931/0.042; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.979/0.057/0.018; direct edge candidate=L521; body edge positions=8/714,521,1,0
17,13517,24,260,261,262,direct,SP recording; raw picture onset against unit blank/body midpoint=59.500; VBI=none; outer-edge test L259/L260/L261=0.847/0.937/0.056; direct edge candidate=L260; body edge positions=8/714,260,286,521,522,525,direct,SP recording; raw first pass-through row is picture; VBI ends at L285; outer-edge test L521/L522/L523=0.871/0.050/0.009; direct edge candidate=L521; body edge positions=8/714,521,1,0
