ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
508,679,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.971,0.570,0.805/L260=0.973,0.863,4.733/L261=10.371,3.238,7.685/L262=1.530,0.902,1.595; peak=L261 margin=5.637; split fraction/run=0.280/55; outer edges=7/624; body=7.0+/-4.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.917,0.626,0.843/L523=4.955,3.308,7.512/L524=9.413,0.860,2.238/L525=0.919,0.938,1.553; peak=L524 margin=1.901; split fraction/run=0.911/105; outer edges=7/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
509,680,23,259,262,262,cv_inspected,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.994,0.670,0.894/L260=1.003,0.846,5.877/L261=10.688,3.152,7.345/L262=1.317,0.930,1.484; peak=L261 margin=4.812; split fraction/run=0.439/83; outer edges=6/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262; row Y(mean/std) L22=1.363/0.481 L23=128.777/42.769 L24=131.986/31.116 L259=95.253/53.564 L260=75.623/45.383 L262=55.819/46.532",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.843,1.200,0.757/L523=4.877,3.873,6.951/L524=10.205,0.734,1.686/L525=1.426,0.979,1.589; peak=L524 margin=3.253; split fraction/run=0.944/107; outer edges=7/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
510,681,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.062,0.765,0.886/L260=1.165,1.055,4.057/L261=10.488,3.988,6.687/L262=1.287,0.827,1.299; peak=L261 margin=6.431; split fraction/run=0.355/59; outer edges=6/627; body=7.0+/-4.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.825,1.061,0.723/L523=5.403,3.839,7.126/L524=8.053,0.747,2.007/L525=1.117,0.891,1.581; peak=L524 margin=0.926; split fraction/run=0.906/139; outer edges=6/714; body=7.0+/-4.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
511,682,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.051,0.852,0.690/L260=0.854,1.191,3.737/L261=10.356,4.071,7.035/L262=1.363,0.750,1.526; peak=L261 margin=6.619; split fraction/run=0.332/52; outer edges=6/627; body=7.0+/-5.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.061,1.168,0.737/L523=4.903,3.767,6.883/L524=10.361,0.730,1.923/L525=1.139,1.049,1.486; peak=L524 margin=3.478; split fraction/run=0.902/115; outer edges=7/714; body=8.0+/-3.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
512,683,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.086,1.063,0.905/L260=1.052,1.513,3.577/L261=10.798,4.447,6.428/L262=1.538,0.962,1.537; peak=L261 margin=7.221; split fraction/run=0.369/33; outer edges=5/714; body=8.0+/-4.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.758,1.233,0.872/L523=5.356,3.970,6.430/L524=10.590,0.731,1.691/L525=0.976,0.805,1.792; peak=L524 margin=4.160; split fraction/run=0.874/116; outer edges=6/714; body=7.0+/-4.3/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
513,684,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.126,0.831,0.762/L260=1.203,1.419,3.448/L261=10.115,4.333,7.193/L262=1.266,0.740,1.168; peak=L261 margin=6.667; split fraction/run=0.266/45; outer edges=8/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.073,1.249,0.857/L523=4.982,4.052,6.614/L524=10.259,0.903,1.530/L525=1.213,0.958,1.490; peak=L524 margin=3.646; split fraction/run=0.916/109; outer edges=9/650; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
514,685,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.151,1.025,0.891/L260=0.978,1.390,3.624/L261=10.534,4.532,6.580/L262=1.520,0.958,1.219; peak=L261 margin=6.911; split fraction/run=0.327/34; outer edges=4/714; body=7.0+/-4.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.952,1.415,0.872/L523=4.704,4.419,6.468/L524=10.176,0.807,1.260/L525=1.305,0.883,1.288; peak=L524 margin=3.708; split fraction/run=0.935/108; outer edges=7/714; body=8.0+/-4.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
515,686,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.126,1.393,0.889/L260=1.091,1.049,3.272/L261=10.134,4.625,6.176/L262=1.325,0.897,1.191; peak=L261 margin=6.862; split fraction/run=0.421/35; outer edges=7/607; body=8.0+/-3.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.068,1.297,1.056/L523=5.437,4.416,6.474/L524=8.346,0.808,0.926/L525=1.234,0.900,1.626; peak=L524 margin=1.872; split fraction/run=0.958/106; outer edges=6/614; body=7.0+/-4.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
516,687,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.332,1.485,0.872/L260=1.095,1.152,3.158/L261=10.518,4.785,5.382/L262=1.424,0.746,1.255; peak=L261 margin=7.360; split fraction/run=0.402/30; outer edges=8/714; body=8.0+/-3.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.911,1.281,0.926/L523=5.224,4.582,6.502/L524=8.603,0.794,1.457/L525=1.021,0.575,1.377; peak=L524 margin=2.101; split fraction/run=0.921/132; outer edges=6/714; body=8.0+/-3.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
517,688,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.951,1.188,0.981/L260=1.003,0.932,3.226/L261=10.104,4.517,6.767/L262=1.360,0.655,1.135; peak=L261 margin=6.878; split fraction/run=0.299/41; outer edges=6/714; body=7.0+/-4.5/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.944,0.881,0.943/L523=5.274,4.146,6.671/L524=8.775,0.706,1.355/L525=1.067,0.750,1.574; peak=L524 margin=2.104; split fraction/run=0.958/150; outer edges=6/714; body=8.0+/-3.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
