capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,152,2062,1,24,24,260,260,0,0,censored,censored,L24=112.541/15.955 L259=125.225/82.725 L260=19.887/18.489 L262=11.361/0.594 L263=1.380/0.492
w_2100s,152,2062,2,288,288,523,522,0,-1,censored,censored,L288=157.473/21.862 L521=123.108/81.847 L522=124.880/82.001 L525=11.647/0.761 L526=1.369/0.529 L527=16.000/0.000
w_2100s,153,2063,1,24,25,260,261,1,1,censored,censored,L25=111.381/16.949 L260=126.109/83.298 L261=17.903/9.361 L262=11.863/0.987 L263=1.397/0.499 L264=1.364/0.481
w_2100s,153,2063,2,288,288,522,522,0,0,censored,censored,L288=154.711/21.923 L521=123.558/82.233 L522=124.970/82.130 L525=11.405/0.696 L526=1.363/0.500 L527=16.000/0.000
w_2100s,154,2064,1,25,24,261,260,-1,-1,censored,censored,L24=111.102/16.983 L259=125.145/82.834 L260=17.613/8.989 L262=11.323/0.642 L263=1.373/0.487
w_2100s,154,2064,2,288,288,522,523,0,1,censored,censored,L288=156.019/23.641 L522=124.025/82.676 L523=11.845/0.948 L525=11.405/0.777 L526=1.389/0.519 L527=16.000/0.000
w_2100s,155,2065,1,24,25,260,261,1,1,censored,censored,L25=112.338/17.163 L260=124.748/82.795 L261=18.355/12.012 L262=11.884/0.876 L263=1.383/0.492 L264=1.378/0.485
w_2100s,155,2065,2,288,288,523,523,0,0,censored,censored,L288=155.242/23.746 L522=123.866/82.849 L523=11.941/0.970 L525=11.319/0.774 L526=1.375/0.503 L527=16.000/0.000
w_2100s,156,2066,1,25,26,261,261,1,0,censored,censored,L26=164.020/22.465 L260=124.894/82.934 L261=17.666/10.067 L262=11.411/0.924 L263=1.375/0.497 L265=16.000/0.000
w_2100s,156,2066,2,288,288,523,523,0,0,censored,censored,L288=164.773/25.018 L522=123.798/82.757 L523=12.083/0.936 L525=11.358/0.713 L526=1.367/0.492 L527=16.000/0.000
w_2100s,157,2067,1,26,24,261,260,-2,-1,censored,censored,L24=110.178/17.243 L259=125.023/82.943 L260=17.022/8.347 L262=10.970/0.742 L263=1.366/0.488
w_2100s,157,2067,2,288,288,523,522,0,-1,censored,censored,L288=156.136/23.797 L521=124.050/82.264 L522=124.641/82.506 L525=11.266/0.732 L526=1.387/0.506 L527=16.000/0.000
