ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
226,2136,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.148/0.044/0.016; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=113.941/11.427 L25=160.305/21.682 L26=145.623/24.169 L258=127.244/82.785 L259=127.175/82.405 L260=19.222/20.367 L262=10.598/0.764,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.185/0.235/0.017; direct edge candidate=L522; body edge positions=10/714,522,2,2
227,2137,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.283/0.044/0.033; direct edge candidate=L259; body edge positions=10/714,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.163/0.163/0.016; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=64.598/58.101 L288=152.009/24.302 L289=147.664/24.100 L521=127.000/82.300 L522=127.209/81.963 L523=11.391/0.937 L525=10.536/0.653,522,2,2
228,2138,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.211/0.050/0.016; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=113.253/12.288 L25=159.945/23.905 L26=147.863/24.412 L258=128.191/82.312 L259=128.672/82.289 L260=20.977/21.872 L262=10.619/0.695,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.164/0.131/0.016; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=20.622/35.528 L288=153.977/22.844 L289=150.508/23.152 L521=127.523/82.425 L522=129.284/81.760 L523=11.133/0.952 L525=10.366/0.676,522,2,2
229,2139,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.150/0.049/0.033; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=113.317/12.193 L25=148.830/22.028 L26=148.489/23.596 L258=127.878/82.565 L259=128.170/81.935 L260=21.403/22.518 L262=10.656/0.705,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.188/0.156/0.016; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=24.606/39.767 L288=153.880/23.340 L289=150.623/23.246 L521=126.759/82.220 L522=128.500/81.109 L523=11.264/0.882 L525=10.739/0.737,522,2,2
230,2140,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.176/0.050/0.016; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=112.578/12.586 L25=158.630/23.816 L26=147.567/24.729 L258=127.420/82.201 L259=127.778/81.680 L260=25.098/31.509 L262=10.380/0.736,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.152/0.136/0.015; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=24.739/40.218 L288=154.734/22.605 L289=150.903/23.510 L521=127.528/82.627 L522=130.016/80.724 L523=11.081/0.903 L525=10.647/0.710,522,2,2
231,2141,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.156/0.050/0.016; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=112.934/12.818 L25=149.053/21.807 L26=148.959/23.889 L258=129.034/82.740 L259=129.716/81.614 L260=24.250/27.609 L262=10.423/0.705,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.156/0.172/0.016; direct edge candidate=L522; body edge positions=10/714,522,2,2
232,2142,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.164/0.044/0.015; direct edge candidate=L259; body edge positions=11/714; magnified raw rows resolve L259; row Y(mean/std) L24=114.448/12.371 L25=160.703/23.849 L26=149.372/24.509 L258=129.583/82.168 L259=130.478/81.442 L260=26.127/31.033 L262=10.308/0.803,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.222/0.178/0.015; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=19.420/35.543 L288=153.908/21.501 L289=150.205/23.212 L521=128.797/81.958 L522=130.198/80.158 L523=11.166/0.924 L525=10.562/0.766,522,2,2
233,2143,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.167/0.050/0.015; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=113.536/12.435 L25=149.433/22.694 L26=148.434/23.895 L258=129.809/81.816 L259=131.881/79.677 L260=29.047/35.436 L262=10.363/0.720,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.239/0.224/0.030; direct edge candidate=L522; body edge positions=10/714,522,2,2
234,2144,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.241/0.043/0.015; direct edge candidate=L259; body edge positions=10/714,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.174/0.145/0.029; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=23.772/39.811 L288=154.120/22.350 L289=150.139/23.471 L521=132.116/78.724 L522=135.161/77.016 L523=11.241/0.876 L525=10.695/0.747,522,2,2
235,2145,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.167/0.055/0.015; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=115.431/11.794 L25=151.091/21.789 L26=150.808/23.586 L258=131.308/79.394 L259=134.644/77.235 L260=27.555/30.622 L262=10.534/0.751,259,288,521,522,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.178/0.037/0.030; direct edge candidate=L521; body edge positions=10/714; magnified raw rows resolve L521; row Y(mean/std) L287=25.109/39.973 L288=153.906/23.107 L289=150.809/24.095 L520=130.020/79.806 L521=132.452/78.092 L522=135.769/75.830 L525=10.742/0.761,521,2,2
