capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
sp_vstab_off,18,189,2,286,286,523,523,0,0,observed,observed,L286=117.084/29.457 L522=99.041/39.285 L523=112.889/45.577 L525=77.250/58.410 L526=1.391/0.507
sp_vstab_off,19,190,1,23,23,260,260,0,0,observed,observed,L23=109.261/29.093 L259=101.180/40.150 L260=89.611/40.273 L262=70.534/51.605 L263=1.392/0.495
sp_vstab_off,19,190,2,286,286,523,523,0,0,observed,observed,L286=114.408/28.955 L522=98.472/38.762 L523=108.058/45.776 L525=75.703/56.437 L526=1.391/0.519
sp_vstab_off,20,191,1,23,23,260,261,0,1,observed,observed,L23=110.777/29.816 L260=90.898/38.696 L261=75.945/55.119 L262=70.583/53.325 L263=1.392/0.498
sp_vstab_off,20,191,2,286,286,523,523,0,0,observed,observed,L286=117.405/27.875 L522=100.005/39.360 L523=106.223/46.245 L525=78.548/59.952 L526=1.381/0.532
sp_vstab_off,21,192,1,23,23,261,260,0,-1,observed,observed,L23=113.592/29.736 L259=100.237/39.471 L260=91.452/40.816 L262=71.259/55.096 L263=1.387/0.494
sp_vstab_off,21,192,2,286,286,523,523,0,0,observed,observed,L286=115.081/28.692 L522=97.597/39.309 L523=100.162/39.632 L525=74.208/57.171 L526=1.384/0.505
sp_vstab_off,22,193,1,23,23,260,261,0,1,observed,observed,L23=113.998/29.871 L260=90.573/39.658 L261=74.398/55.888 L262=71.141/52.300 L263=1.366/0.485
sp_vstab_off,22,193,2,286,286,523,523,0,0,observed,observed,L286=118.572/28.229 L522=97.064/38.425 L523=97.491/49.382 L525=75.675/56.397 L526=1.361/0.512
sp_vstab_off,23,194,1,23,23,261,260,0,-1,observed,observed,L23=116.828/28.756 L259=99.922/39.018 L260=90.167/38.856 L262=70.367/55.344 L263=1.359/0.489
sp_vstab_off,23,194,2,286,286,523,523,0,0,observed,observed,L286=115.992/28.090 L522=95.819/38.182 L523=97.930/41.148 L525=77.780/56.728 L526=1.364/0.513
sp_vstab_off,24,195,1,23,23,260,260,0,0,observed,observed,L23=114.734/29.897 L259=98.505/38.131 L260=88.898/38.138 L262=69.067/51.112 L263=1.373/0.490
sp_vstab_off,24,195,2,286,286,523,523,0,0,observed,observed,L286=117.955/28.557 L522=96.236/38.715 L523=95.409/41.875 L525=76.002/55.280 L526=1.370/0.502
sp_vstab_off,25,196,1,23,23,260,260,0,0,observed,observed,L23=117.509/29.629 L259=97.173/38.343 L260=90.375/40.648 L262=68.166/51.422 L263=1.381/0.489
sp_vstab_off,25,196,2,286,286,523,523,0,0,observed,observed,L286=117.852/28.015 L522=95.241/38.386 L523=96.481/40.355 L525=74.406/56.837 L526=1.394/0.520
sp_vstab_off,26,197,1,23,23,260,261,0,1,observed,observed,L23=115.963/29.964 L260=89.892/39.985 L261=73.025/56.321 L262=70.008/52.435 L263=1.355/0.498
sp_vstab_off,26,197,2,286,286,523,523,0,0,observed,observed,L286=119.069/27.982 L522=96.839/39.376 L523=97.734/39.237 L525=77.336/55.916 L526=1.398/0.553
sp_vstab_off,27,198,1,23,23,261,260,0,-1,observed,observed,L23=118.097/29.971 L259=97.123/38.366 L260=87.520/40.313 L262=68.823/52.347 L263=1.398/0.532
sp_vstab_off,27,198,2,286,286,523,523,0,0,observed,observed,L286=117.489/28.378 L522=93.987/39.404 L523=104.269/46.410 L525=74.172/55.980 L526=1.406/0.522
sp_vstab_off,28,199,1,23,23,260,260,0,0,observed,observed,L23=117.258/29.341 L259=96.155/39.093 L260=83.042/38.317 L262=67.316/53.358 L263=1.375/0.497
sp_vstab_off,28,199,2,286,286,523,523,0,0,observed,observed,L286=121.673/27.671 L522=94.819/39.259 L523=102.353/46.374 L525=73.414/56.259 L526=1.386/0.550
sp_vstab_off,29,200,1,23,23,260,260,0,0,observed,observed,L23=121.316/28.336 L259=97.064/39.463 L260=88.991/42.979 L262=70.475/54.791 L263=1.381/0.543
sp_vstab_off,29,200,2,286,286,523,523,0,0,observed,observed,L286=122.277/28.179 L522=94.389/37.832 L523=99.263/44.951 L525=74.953/53.631 L526=1.367/0.513
sp_vstab_off,30,201,1,23,23,260,260,0,0,observed,observed,L23=118.577/30.015 L259=95.369/38.881 L260=87.522/41.354 L262=68.758/52.492 L263=1.361/0.503
sp_vstab_off,30,201,2,286,286,523,523,0,0,observed,observed,L286=121.116/29.627 L522=93.255/40.315 L523=102.739/43.830 L525=73.983/53.930 L526=1.373/0.530
sp_vstab_off,31,202,1,23,23,260,260,0,0,observed,observed,L23=119.034/29.531 L259=95.416/39.007 L260=81.433/38.289 L262=66.973/51.968 L263=1.386/0.509
sp_vstab_off,31,202,2,286,286,523,523,0,0,observed,observed,L286=118.631/27.337 L522=92.544/38.966 L523=97.250/45.571 L525=73.945/53.905 L526=1.380/0.517
sp_vstab_off,32,203,1,23,23,260,260,0,0,observed,observed,L23=119.055/28.741 L259=94.573/38.860 L260=87.500/41.165 L262=67.905/53.424 L263=1.405/0.506
sp_vstab_off,32,203,2,286,286,523,523,0,0,observed,observed,L286=120.623/29.028 L522=95.009/39.091 L523=96.991/46.718 L525=74.431/54.120 L526=1.386/0.518
sp_vstab_off,33,204,1,23,23,260,260,0,0,observed,observed,L23=121.297/29.665 L259=97.509/39.530 L260=83.992/37.975 L262=69.842/52.169 L263=1.398/0.511
sp_vstab_off,33,204,2,286,286,523,523,0,0,observed,observed,L286=30.116/49.111 L522=93.302/39.411 L523=100.894/42.869 L525=73.261/53.993 L526=1.392/0.537
sp_vstab_off,34,205,1,23,23,260,260,0,0,observed,observed,L23=121.013/29.603 L259=94.748/39.125 L260=83.328/37.684 L262=69.194/52.947 L263=1.370/0.486
sp_vstab_off,34,205,2,286,286,523,523,0,0,observed,observed,L286=122.292/29.462 L522=95.703/39.390 L523=100.853/47.622 L525=74.389/54.816 L526=1.384/0.505
sp_vstab_off,35,206,1,23,23,260,260,0,0,observed,observed,L23=121.808/29.128 L259=93.455/39.677 L260=82.641/38.764 L262=67.150/51.117 L263=1.387/0.506
sp_vstab_off,35,206,2,286,286,523,523,0,0,observed,observed,L286=121.464/28.818 L522=93.220/39.860 L523=101.669/46.636 L525=73.892/53.170 L526=1.386/0.518
sp_vstab_off,36,207,1,23,23,260,260,0,0,observed,observed,L23=122.806/29.913 L259=94.827/38.642 L260=80.794/39.315 L262=68.053/52.820 L263=1.392/0.510
sp_vstab_off,36,207,2,286,286,523,523,0,0,observed,observed,L286=121.548/29.447 L522=93.673/39.288 L523=100.125/45.155 L525=73.925/54.225 L526=1.381/0.517
sp_vstab_off,37,208,1,23,23,260,260,0,0,observed,observed,L23=121.592/29.132 L259=94.156/38.505 L260=80.341/37.832 L262=67.873/52.749 L263=1.386/0.496
sp_vstab_off,37,208,2,286,286,523,523,0,0,observed,observed,L286=123.653/28.109 L522=94.131/39.659 L523=101.848/44.752 L525=75.073/55.433 L526=1.392/0.519
sp_vstab_off,38,209,1,23,23,260,260,0,0,observed,observed,L23=122.503/28.988 L259=93.027/39.218 L260=79.325/39.266 L262=67.917/52.336 L263=1.392/0.498
sp_vstab_off,38,209,2,286,286,523,523,0,0,observed,observed,L286=124.219/29.018 L522=94.256/39.476 L523=103.344/44.614 L525=74.461/54.230 L526=1.375/0.530
sp_vstab_off,39,210,1,23,23,260,260,0,0,observed,observed,L23=123.545/28.499 L259=93.066/38.526 L260=83.267/37.935 L262=66.713/51.157 L263=1.398/0.499
sp_vstab_off,39,210,2,286,286,523,523,0,0,observed,observed,L286=123.206/28.596 L522=94.000/40.101 L523=94.803/46.646 L525=73.192/54.698 L526=1.366/0.528
sp_vstab_off,40,211,1,23,23,260,260,0,0,observed,observed,L23=121.253/29.296 L259=93.605/39.216 L260=86.686/39.582 L262=68.381/53.592 L263=1.402/0.512
