capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_onset_line,switch_onset_line,previous_switch_line,switch_line,dp,ds,previous_reference_changed,previous_change_kind,raw_previous_rows,raw_rows
w_300s,480,13980,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.891/33.296 L521=96.366/53.601 L522=66.989/45.951 L525=9.931/0.856,L286=138.448/31.475 L521=95.908/53.838 L522=66.491/46.035 L525=9.939/0.879
w_300s,481,13981,1,25,25,262,262,none,none,0,0,yes,readout_change,L25=134.166/42.260 L261=97.123/55.686 L262=25.372/31.577,L25=133.053/41.912 L261=96.081/54.529 L262=26.186/32.747
w_300s,481,13981,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.448/31.475 L521=95.908/53.838 L522=66.491/46.035 L525=9.939/0.879,L286=135.994/31.997 L521=92.431/52.949 L522=72.059/47.543 L525=9.944/0.913
w_300s,482,13982,1,25,25,262,262,none,none,0,0,no,no_previous_change,L25=133.053/41.912 L261=96.081/54.529 L262=26.186/32.747,L25=130.775/43.029 L261=96.369/53.607 L262=27.023/33.352
w_300s,482,13982,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=135.994/31.997 L521=92.431/52.949 L522=72.059/47.543 L525=9.944/0.913,L286=138.745/31.177 L521=94.844/52.823 L522=73.183/49.028 L525=9.956/0.865
w_300s,483,13983,1,25,25,262,262,none,none,0,0,no,no_previous_change,L25=130.775/43.029 L261=96.369/53.607 L262=27.023/33.352,L25=132.803/40.532 L261=95.080/54.201 L262=27.648/34.029
w_300s,483,13983,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.745/31.177 L521=94.844/52.823 L522=73.183/49.028 L525=9.956/0.865,L286=138.189/31.724 L521=95.408/52.977 L522=76.089/48.544 L525=10.069/0.967
w_300s,484,13984,1,25,25,262,262,none,none,0,0,yes,readout_change,L25=132.803/40.532 L261=95.080/54.201 L262=27.648/34.029,L25=135.508/41.646 L261=95.389/53.099 L262=26.177/32.379
w_300s,484,13984,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.189/31.724 L521=95.408/52.977 L522=76.089/48.544 L525=10.069/0.967,L286=137.700/30.394 L521=92.723/53.109 L522=72.872/48.549 L525=10.044/0.946
w_300s,485,13985,1,25,25,262,262,none,none,0,0,no,no_previous_change,L25=135.508/41.646 L261=95.389/53.099 L262=26.177/32.379,L25=133.075/41.542 L261=94.483/53.228 L262=28.567/35.548
w_300s,485,13985,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=137.700/30.394 L521=92.723/53.109 L522=72.872/48.549 L525=10.044/0.946,L286=137.177/32.672 L521=92.844/53.412 L522=73.191/47.360 L525=10.198/0.903
w_300s,486,13986,1,25,25,262,262,none,none,0,0,yes,readout_change,L25=133.075/41.542 L261=94.483/53.228 L262=28.567/35.548,L25=132.995/40.871 L261=95.556/53.398 L262=26.163/32.507
w_300s,486,13986,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=137.177/32.672 L521=92.844/53.412 L522=73.191/47.360 L525=10.198/0.903,L286=137.456/32.338 L521=92.848/52.266 L522=70.900/48.258 L525=10.008/0.872
w_300s,487,13987,1,25,25,262,262,none,none,0,0,no,no_previous_change,L25=132.995/40.871 L261=95.556/53.398 L262=26.163/32.507,L25=133.498/41.722 L261=96.036/53.561 L262=29.977/36.045
w_300s,487,13987,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=137.456/32.338 L521=92.848/52.266 L522=70.900/48.258 L525=10.008/0.872,L286=136.978/32.415 L521=92.000/53.285 L522=76.597/48.626 L525=9.928/0.795
w_300s,488,13988,1,25,24,262,261,none,261,-1,unmeasurable,no,no_previous_change,L25=133.498/41.722 L261=96.036/53.561 L262=29.977/36.045,L24=132.445/40.871 L260=95.497/53.104 L261=29.269/35.102 L262=10.495/0.764
w_300s,488,13988,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.978/32.415 L521=92.000/53.285 L522=76.597/48.626 L525=9.928/0.795,L286=138.992/32.924 L521=95.409/52.305 L522=75.106/48.829 L525=10.006/0.915
w_300s,489,13989,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=132.445/40.871 L260=95.497/53.104 L261=29.269/35.102 L262=10.495/0.764,L24=134.028/41.037 L260=94.167/53.948 L261=29.619/34.938 L262=10.361/0.728
w_300s,489,13989,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.992/32.924 L521=95.409/52.305 L522=75.106/48.829 L525=10.006/0.915,L286=138.184/31.127 L521=93.055/53.476 L522=74.562/50.367 L525=10.094/0.932
w_300s,490,13990,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=134.028/41.037 L260=94.167/53.948 L261=29.619/34.938 L262=10.361/0.728,L24=131.823/40.387 L260=92.580/53.598 L261=30.505/35.342 L262=10.156/0.814
