capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
composite,234,6276,1,-1,23,-1,258,unmeasurable,unmeasurable,unmeasurable,inferred,L23=41.045/3.810 L257=8.447/1.741 L258=8.431/2.405 L262=6.884/2.648 L263=1.397/0.505
composite,234,6276,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=236.439/0.947 L525=1.375/0.506
composite,235,6277,1,23,-1,258,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L23=10.039/1.567 L262=2.831/1.773
composite,235,6277,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=11.025/2.166 L525=5.612/1.338
composite,236,6278,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=12.945/1.449 L262=6.353/1.555
composite,236,6278,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=14.839/2.270 L525=8.925/1.485
composite,237,6279,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=16.123/1.549 L262=8.523/1.378
composite,237,6279,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=16.988/2.187 L525=9.706/2.064
composite,238,6280,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=2.025/1.226 L262=10.659/1.345
composite,238,6280,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=18.834/2.514 L525=11.409/2.247
composite,239,6281,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=4.216/1.673 L262=11.947/1.276
composite,239,6281,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=21.141/2.259 L525=13.603/2.346
composite,240,6282,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=4.303/1.443 L262=13.377/1.306
composite,240,6282,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.005/2.586 L525=13.814/2.300
composite,241,6283,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=4.275/1.362 L262=14.544/1.311
composite,241,6283,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.887/2.400 L525=14.525/2.432
composite,242,6284,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=4.805/1.344 L262=14.969/1.297
composite,242,6284,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=24.058/2.337 L525=14.412/2.569
composite,243,6285,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=8.978/1.703 L262=14.984/1.402
composite,243,6285,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.917/2.299 L525=13.784/2.808
composite,244,6286,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=24.663/2.557 L262=14.239/3.289
composite,244,6286,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.983/1.654 L525=15.842/1.577
composite,245,6287,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=17.027/8.575 L262=17.105/1.518
composite,245,6287,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.931/1.431 L525=16.886/1.565
composite,246,6288,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=24.100/1.453 L262=16.873/1.508
composite,246,6288,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.998/1.449 L525=16.852/1.551
