ordinal,local_exact,counter,event,no_placement_expected,f1_blank_mean,f1_blank_noise,f1_active_top_line,f1_top_line,f1_top_valid,f1_top_status,f1_bottom_line,f1_bottom_valid,f1_bottom_censored,f1_visible_height,f1_height_valid,f1_line21_lines,f1_line21_bytes,f1_line21_unique_line,f1_line21_implied_top,f1_gap_line,f1_gap_valid,f1_gap_implied_top,f1_body_shift,f1_body_mad,f1_body_second_mad,f1_body_ratio,f1_body_unique,f1_static_fraction,f1_band_shifts,f1_band_mads,f1_repeated,f2_blank_mean,f2_blank_noise,f2_active_top_line,f2_top_line,f2_top_valid,f2_top_status,f2_bottom_line,f2_bottom_valid,f2_bottom_censored,f2_visible_height,f2_height_valid,f2_line21_lines,f2_line21_bytes,f2_line21_unique_line,f2_line21_implied_top,f2_gap_line,f2_gap_valid,f2_gap_implied_top,f2_body_shift,f2_body_mad,f2_body_second_mad,f2_body_ratio,f2_body_unique,f2_static_fraction,f2_band_shifts,f2_band_mads,f2_repeated,comb_crop_f1_line,comb_crop_f2_line,comb_best_shift,comb_best_energy,comb_second_energy,comb_ratio,comb_static_fraction,comb_valid
9526,536,14036,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.116816520690918,12.91386604309082,0.3962265446781925,1,0.732890625,0 0 0,5.090 5.096 5.349,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.220761775970459,13.121845245361328,0.3978679582291247,1,0.6809375,0 0 0,5.119 5.293 5.721,0,23,286,-1,6.00054931640625,9.568970680236816,0.6270840947187171,0.38070083682008365,1
9527,537,14037,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,12.086816787719727,16.779226303100586,0.720344107015604,1,0.645859375,0 0 0,9.582 14.994 7.786,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,12.05948257446289,16.986270904541016,0.7099546829456826,1,0.648359375,0 0 0,9.626 15.133 8.493,0,23,286,-1,4.9056715965271,6.078936576843262,0.8069950285736608,0.40413179916317993,1
9528,538,14038,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.675986289978027,12.101738929748535,0.46902237132428126,1,0.701953125,0 0 0,5.329 5.973 5.649,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.491445541381836,12.409984588623047,0.4425022047502108,1,0.718984375,0 0 0,5.193 5.645 6.135,0,23,286,-1,4.929296016693115,7.123281955718994,0.6919978806588701,0.36935146443514644,1
9529,539,14039,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.058340072631836,12.542806625366211,0.403286140312647,1,0.6840625,0 0 0,4.851 5.213 5.063,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,8.211230278015137,14.392708778381348,0.570513195566693,1,0.693125,0 0 0,8.548 8.217 6.493,0,23,286,-1,6.069322109222412,9.01129150390625,0.6735241121199396,0.3651150627615063,1
9530,540,14040,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,8.243085861206055,14.123791694641113,0.583631225907535,1,0.682265625,0 0 0,8.548 8.165 5.927,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.042548656463623,12.913747787475586,0.3904791033129937,1,0.6928125,0 0 0,4.927 5.043 5.610,0,23,286,-1,5.900335788726807,8.710775375366211,0.6773605717595202,0.3545502092050209,1
9531,541,14041,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.1298828125,12.737696647644043,0.4027323741807606,1,0.7325,0 0 0,5.017 5.248 4.925,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.147070407867432,13.024665832519531,0.39517869203341904,1,0.68828125,0 0 0,4.932 5.349 5.483,0,23,286,-1,5.8294758796691895,9.421377182006836,0.6187498671428268,0.39628661087866107,1
9532,542,14042,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,7.680898666381836,13.817855834960938,0.5558676221637935,1,0.686171875,0 0 0,7.730 7.721 5.907,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,7.769130706787109,14.012205123901367,0.554454537175943,1,0.6915625,0 0 0,7.861 7.905 6.403,0,23,286,-1,6.037693023681641,9.00221061706543,0.6706900427586117,0.4101987447698745,1
9533,543,14043,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.206230640411377,12.649263381958008,0.41158370121671806,1,0.726484375,0 0 0,5.009 5.323 5.233,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.467304706573486,13.22559928894043,0.4133880504867088,1,0.711953125,0 0 0,5.526 5.459 5.593,0,23,286,-1,5.741566181182861,9.231447219848633,0.62195732093207,0.38023012552301255,1
9534,544,14044,Program,0,1.0,0.25,23,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,4.928427696228027,12.789436340332031,0.3853514388813228,1,0.696484375,0 0 0,4.857 5.002 5.025,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,6.550380706787109,13.519948959350586,0.4844974434801231,1,0.68828125,0 0 0,6.561 6.646 6.034,0,23,286,-1,6.310196876525879,9.953932762145996,0.6339400744721774,0.3903242677824268,1
9535,545,14045,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,6.452919960021973,13.199705123901367,0.4888684936103116,1,0.69015625,0 0 0,6.455 6.498 5.772,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.119619369506836,13.066872596740723,0.3918014300364286,1,0.6809375,0 0 0,5.126 5.117 5.553,0,23,286,-1,6.0034589767456055,9.143003463745117,0.6566178171703869,0.3695083682008368,1
9536,546,14046,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.470576286315918,13.03760814666748,0.4195996861367736,1,0.708984375,0 0 0,5.308 5.620 5.181,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.121777534484863,13.104991912841797,0.39082645518200965,1,0.690703125,0 0 0,5.088 5.109 5.500,0,23,286,-1,5.992740631103516,9.964006423950195,0.601438856632904,0.36338912133891216,1
9537,547,14047,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,8.398603439331055,13.267433166503906,0.6330239869257367,1,0.6775,0 0 0,7.464 9.390 6.328,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,8.10611343383789,13.326837539672852,0.6082548398828069,1,0.67140625,0 0 0,7.208 9.060 7.004,0,23,286,-1,4.8162407875061035,6.436929702758789,0.7482201934630297,0.37923640167364014,1
9538,548,14048,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.512431621551514,12.576051712036133,0.43832768405967537,1,0.7153125,0 0 0,5.098 5.897 5.514,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,5.686044692993164,12.732331275939941,0.44658315667123594,1,0.70328125,0 0 0,5.197 6.004 6.079,0,23,286,-1,5.063409805297852,7.5268964767456055,0.672708841013197,0.36647489539748956,1
9539,549,14049,Program,0,1.0,0.25,24,24,1,measured,262,0,1,239,0,21,8080,-1,-1,23,1,24,0,5.250722885131836,13.087313652038574,0.4012070792170512,1,0.726328125,0 0 0,5.091 5.426 4.974,0,1.0,0.25,286,286,1,measured,525,0,1,240,0,284,8080,-1,-1,-1,0,-1,0,6.341015815734863,13.399263381958008,0.47323615000157293,1,0.690625,0 0 0,6.762 6.136 5.620,0,23,286,-1,6.3284592628479,10.200581550598145,0.6204018105690072,0.37625523012552303,1
